2025-06-28 07:44:57 : Battery: 94%, Charging: True
2025-06-28 07:45:27 : Battery: 94%, Charging: True
2025-06-28 07:45:57 : Battery: 94%, Charging: True
2025-06-28 07:46:27 : Battery: 94%, Charging: True
2025-06-28 07:46:57 : Battery: 94%, Charging: True
2025-06-28 07:47:27 : Battery: 94%, Charging: True
2025-06-28 07:47:57 : Battery: 95%, Charging: True
2025-06-28 07:47:57 : ALERT: Battery at 95%. Please unplug your charger for battery health.
2025-06-28 07:48:27 : Battery: 94%, Charging: False
2025-06-28 07:48:57 : Battery: 94%, Charging: False
2025-06-28 07:49:27 : Battery: 93%, Charging: False
2025-06-28 07:49:57 : Battery: 93%, Charging: False
2025-06-28 07:50:27 : Battery: 92%, Charging: False
2025-06-28 07:50:57 : Battery: 91%, Charging: False
2025-06-28 07:51:27 : Battery: 91%, Charging: False
2025-06-28 07:51:57 : Battery: 90%, Charging: False
2025-06-28 07:52:27 : Battery: 90%, Charging: False
2025-06-28 07:52:57 : Battery: 89%, Charging: False
2025-06-28 07:53:27 : Battery: 89%, Charging: False
2025-06-28 07:53:57 : Battery: 88%, Charging: False
2025-06-28 07:54:27 : Battery: 87%, Charging: False
2025-06-28 07:54:57 : Battery: 87%, Charging: False
2025-06-28 07:55:27 : Battery: 86%, Charging: False
2025-06-28 07:55:57 : Battery: 85%, Charging: False
2025-06-28 07:56:27 : Battery: 85%, Charging: False
2025-06-28 07:56:57 : Battery: 84%, Charging: False
2025-06-28 07:57:27 : Battery: 84%, Charging: False
2025-06-28 07:57:57 : Battery: 83%, Charging: False
2025-06-28 07:58:27 : Battery: 83%, Charging: False
2025-06-28 07:58:57 : Battery: 82%, Charging: False
2025-06-28 07:59:27 : Battery: 81%, Charging: False
2025-06-28 07:59:57 : Battery: 81%, Charging: False
2025-06-28 08:00:27 : Battery: 80%, Charging: False
2025-06-28 08:00:57 : Battery: 80%, Charging: False
2025-06-28 08:01:27 : Battery: 79%, Charging: False
2025-06-28 08:01:57 : Battery: 78%, Charging: False
2025-06-28 08:02:27 : Battery: 78%, Charging: False
2025-06-28 08:02:57 : Battery: 77%, Charging: False
2025-06-28 08:03:27 : Battery: 77%, Charging: False
2025-06-28 08:03:57 : Battery: 76%, Charging: False
2025-06-28 08:04:27 : Battery: 75%, Charging: False
2025-06-28 08:04:57 : Battery: 75%, Charging: False
2025-06-28 08:05:27 : Battery: 74%, Charging: False
2025-06-28 08:05:57 : Battery: 74%, Charging: False
2025-06-28 08:06:27 : Battery: 73%, Charging: False
2025-06-28 08:06:57 : Battery: 72%, Charging: False
2025-06-28 08:07:27 : Battery: 72%, Charging: False
2025-06-28 08:07:57 : Battery: 71%, Charging: False
2025-06-28 08:08:27 : Battery: 71%, Charging: False
2025-06-28 08:08:57 : Battery: 70%, Charging: False
2025-06-28 08:09:27 : Battery: 69%, Charging: False
2025-06-28 08:09:57 : Battery: 69%, Charging: False
2025-06-28 08:10:27 : Battery: 68%, Charging: False
2025-06-28 08:10:57 : Battery: 68%, Charging: False
2025-06-28 08:11:27 : Battery: 67%, Charging: False
2025-06-28 08:11:57 : Battery: 66%, Charging: False
2025-06-28 08:12:27 : Battery: 66%, Charging: False
2025-06-28 08:12:57 : Battery: 65%, Charging: False
2025-06-28 08:13:27 : Battery: 65%, Charging: False
2025-06-28 08:13:57 : Battery: 64%, Charging: False
2025-06-28 08:14:28 : Battery: 63%, Charging: False
2025-06-28 08:14:57 : Battery: 63%, Charging: False
2025-06-28 08:15:27 : Battery: 62%, Charging: False
2025-06-28 08:15:57 : Battery: 61%, Charging: False
2025-06-28 08:16:27 : Battery: 61%, Charging: False
2025-06-28 08:16:57 : Battery: 60%, Charging: False
2025-06-28 08:17:28 : Battery: 59%, Charging: False
2025-06-28 08:17:57 : Battery: 58%, Charging: False
2025-06-28 08:18:28 : Battery: 58%, Charging: False
2025-06-28 08:18:58 : Battery: 57%, Charging: False
2025-06-28 08:19:28 : Battery: 56%, Charging: False
2025-06-28 08:19:58 : Battery: 56%, Charging: False
2025-06-28 08:20:28 : Battery: 55%, Charging: False
2025-06-28 08:20:58 : Battery: 54%, Charging: False
2025-06-28 08:21:28 : Battery: 54%, Charging: False
2025-06-28 08:21:58 : Battery: 53%, Charging: False
2025-06-28 08:22:28 : Battery: 52%, Charging: False
2025-06-28 08:22:58 : Battery: 52%, Charging: False
2025-06-28 08:23:28 : Battery: 51%, Charging: False
2025-06-28 08:23:58 : Battery: 50%, Charging: False
2025-06-28 08:24:28 : Battery: 50%, Charging: False
2025-06-28 08:24:58 : Battery: 49%, Charging: False
2025-06-28 08:25:28 : Battery: 48%, Charging: False
2025-06-28 08:25:58 : Battery: 48%, Charging: False
2025-06-28 08:26:28 : Battery: 47%, Charging: False
2025-06-28 08:26:58 : Battery: 46%, Charging: False
2025-06-28 08:27:28 : Battery: 46%, Charging: False
2025-06-28 08:27:58 : Battery: 45%, Charging: False
2025-06-28 08:28:28 : Battery: 44%, Charging: False
2025-06-28 08:28:58 : Battery: 44%, Charging: False
2025-06-28 08:29:28 : Battery: 43%, Charging: False
2025-06-28 08:29:58 : Battery: 42%, Charging: False
2025-06-28 08:30:28 : Battery: 42%, Charging: False
2025-06-28 08:30:58 : Battery: 41%, Charging: False
2025-06-28 08:31:28 : Battery: 41%, Charging: False
2025-06-28 08:31:58 : Battery: 40%, Charging: False
2025-06-28 08:32:28 : Battery: 39%, Charging: False
2025-06-28 08:32:58 : Battery: 39%, Charging: False
2025-06-28 08:33:28 : Battery: 38%, Charging: False
2025-06-28 08:33:58 : Battery: 37%, Charging: False
2025-06-28 08:34:28 : Battery: 36%, Charging: False
2025-06-28 08:34:58 : Battery: 36%, Charging: False
2025-06-28 08:35:28 : Battery: 35%, Charging: False
2025-06-28 08:35:58 : Battery: 34%, Charging: False
2025-06-28 08:36:28 : Battery: 34%, Charging: False
2025-06-28 08:36:58 : Battery: 33%, Charging: False
2025-06-28 08:37:28 : Battery: 33%, Charging: False
2025-06-28 08:37:58 : Battery: 32%, Charging: False
2025-06-28 08:38:28 : Battery: 31%, Charging: False
2025-06-28 08:38:58 : Battery: 31%, Charging: False
2025-06-28 08:39:28 : Battery: 30%, Charging: False
2025-06-28 08:39:28 : ALERT: Battery at 30%. Please plug in your charger!
2025-06-28 08:39:58 : Battery: 30%, Charging: True
2025-06-28 08:40:28 : Battery: 31%, Charging: True
2025-06-28 08:40:58 : Battery: 32%, Charging: True
2025-06-28 08:41:28 : Battery: 33%, Charging: True
2025-06-28 08:41:58 : Battery: 34%, Charging: True
2025-06-28 08:42:28 : Battery: 35%, Charging: True
2025-06-28 08:42:58 : Battery: 36%, Charging: True
2025-06-28 08:43:28 : Battery: 37%, Charging: True
2025-06-28 08:43:58 : Battery: 38%, Charging: True
2025-06-28 08:44:28 : Battery: 39%, Charging: True
2025-06-28 08:44:58 : Battery: 40%, Charging: True
2025-06-28 08:45:28 : Battery: 41%, Charging: True
2025-06-28 08:45:58 : Battery: 42%, Charging: True
2025-06-28 08:46:28 : Battery: 43%, Charging: True
2025-06-28 08:46:58 : Battery: 44%, Charging: True
2025-06-28 08:47:28 : Battery: 45%, Charging: True
2025-06-28 08:47:58 : Battery: 46%, Charging: True
2025-06-28 08:48:28 : Battery: 47%, Charging: True
2025-06-28 08:48:58 : Battery: 48%, Charging: True
2025-06-28 08:49:28 : Battery: 48%, Charging: True
2025-06-28 08:49:58 : Battery: 49%, Charging: True
2025-06-28 08:50:28 : Battery: 50%, Charging: True
2025-06-28 08:50:58 : Battery: 51%, Charging: True
2025-06-28 08:51:28 : Battery: 52%, Charging: True
2025-06-28 08:51:58 : Battery: 53%, Charging: True
2025-06-28 08:52:28 : Battery: 53%, Charging: True
2025-06-28 08:52:58 : Battery: 54%, Charging: True
2025-06-28 08:53:28 : Battery: 55%, Charging: True
2025-06-28 08:53:58 : Battery: 56%, Charging: True
2025-06-28 08:54:28 : Battery: 56%, Charging: True
2025-06-28 08:54:58 : Battery: 57%, Charging: True
2025-06-28 08:55:28 : Battery: 58%, Charging: True
2025-06-28 08:55:58 : Battery: 58%, Charging: True
2025-06-28 08:56:28 : Battery: 59%, Charging: True
2025-06-28 08:56:58 : Battery: 60%, Charging: True
2025-06-28 08:57:28 : Battery: 60%, Charging: True
2025-06-28 08:57:58 : Battery: 61%, Charging: True
